 시군구명,법정동코드
화성군,41750
시흥군,41760
여주시,41670
양주군,41710
고양군,41780
양양군,42830
남양주군,41720
춘천군,42715
홍천군,42720
삼척군,42850
안성군,41860
김포군,41870
광주군,41790
울진군,42050
여주군,41730
포천군,41810
이천군,41840
용인군,41850
영월군,42750
평창군,42760
동해출장소,42105
춘천시,42110
철원군,42780
가평군,41820
천안군,44050
청주시상당구,43111
청주시서원구,43112
청주시흥덕구,43113
제천군,43050
화천군,42790
양구군,42800
양평군,41830
파주군,41770
속초시,42210
삼척시,42230
명주군,42840
횡성군,42730
청주시,43110
원주시,42130
평택군,41740
인제군,42810
고성군,42820
춘성군,42710
강화군,41880
연천군,41800
원성군,42740
정선군,42770
청주시청원구,43114
강릉시,42150
청주시동부출,43115
청주시서부출,43116
충주시,43130
옹진군,41890
원주군,42745
동해시,42170
태백시,42190
공주시,44150
논산군,44750
서산시,44210
부여군,44760
서천군,44770
당진시,44270
청양군,44790
연기군,44730
아산군,44840
제천시,43150
홍성군,44800
청원군,43710
서산군,44820
천원군,44850
괴산군,43760
제원군,43790
단양군,43800
증평출장소,43950
옥천군,43730
영동군,43740
음성군,43770
대천시,44170
보령시,44180
논산시,44230
대전시,44110
천안시,44130
천안시동남구,44131
공주군,44740
태안군,44825
보령군,44780
금산군,44710
당진군,44830
보은군,43720
온양시,44190
대전시동구,44111
대전시중구,44113
증평군,43745
천안시서북구,44133
아산시,44200
예산군,44810
대덕군,44720
중원군,43780
진천군,43750
계룡시,44250
대전시서구,44115
부산진구,21230
동래구,21260
종로구,11110
중구,11140
남구,22200
북구,22230
노원구,11350
은평구,11380
서대문구,11410
서구,24140
동구,26170
영도구,26200
부천군,41050
달성군,27710
북구칠곡출장,22235
수성구,22260
광산구,24200
울주군,31710
동작구,11590
관악구,11620
대덕구,25230
안양시,41170
안양시만안구,41171
안양시동안구,41173
안양시만안출,41175
안양시동안출,41176
부천시,41190
부천시중구,41191
부천시남구,41193
고양시일산구,41283
고양시일산동구,41285
고양시일산서구,41287
과천시,41290
구리시,41310
평택시,41330
세종시,36110
용인시처인구,41461
용인시수지출,41462
용인시기흥구,41463
수원시,41110
안성시,41550
광주시,41610
부천시원미구,41195
부천시소사구,41197
광명시,41210
김포시,41570
미금시,41350
남양주시,41360
용산구,11170
서초구,11650
강남구,11680
화성시,41590
해운대구,21350
성동구,11200
달서구,22290
송파구,11710
